random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
4,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5765765765765766,0.4279664917610237,0.41981792717086835,0.5895412218941631,"[[48, 6, 17], [1, 1, 4], [16, 3, 15]]",9,1,0.676056338028169,0.7384615384615385,0.7058823529411765,0.16666666666666666,0.1,0.125,0.4411764705882353,0.4166666666666667,0.42857142857142855
4,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6846846846846847,0.5098499493694191,0.5260290164836944,0.6803622334079927,"[[55, 0, 16], [2, 1, 3], [13, 1, 20]]",1,1,0.7746478873239436,0.7857142857142857,0.7801418439716312,0.16666666666666666,0.5,0.25,0.5882352941176471,0.5128205128205128,0.547945205479452
4,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6396396396396397,0.4659394274141581,0.4735294117647058,0.6346846846846848,"[[54, 2, 15], [2, 1, 3], [17, 1, 16]]",3,1,0.7605633802816901,0.7397260273972602,0.75,0.16666666666666666,0.25,0.2,0.47058823529411764,0.47058823529411764,0.47058823529411764
4,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4514406701647795,0.4643719806763285,0.6160345127736433,"[[53, 1, 17], [2, 1, 3], [18, 1, 15]]",2,1,0.7464788732394366,0.726027397260274,0.7361111111111112,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.4411764705882353,0.42857142857142855,0.43478260869565216
4,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6576576576576577,0.49065635643928934,0.5170002829577297,0.6536002855726835,"[[53, 0, 18], [2, 1, 3], [15, 0, 19]]",0,1,0.7464788732394366,0.7571428571428571,0.75177304964539,0.16666666666666666,1.0,0.2857142857142857,0.5588235294117647,0.475,0.5135135135135135
5,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6486486486486487,0.5672466169566418,0.5571095571095571,0.6472626472626472,"[[54, 2, 15], [1, 3, 2], [17, 2, 15]]",4,3,0.7605633802816901,0.75,0.7552447552447552,0.5,0.42857142857142855,0.46153846153846156,0.4411764705882353,0.46875,0.45454545454545453
5,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4463315842769033,0.4448717948717949,0.61999306999307,"[[54, 4, 13], [1, 1, 4], [18, 2, 14]]",6,1,0.7605633802816901,0.7397260273972602,0.75,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.4117647058823529,0.45161290322580644,0.4307692307692308
5,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6036036036036037,0.47247537512657645,0.5042119042119042,0.5944609890555835,"[[54, 0, 17], [1, 2, 3], [22, 1, 11]]",1,2,0.7605633802816901,0.7012987012987013,0.7297297297297297,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3235294117647059,0.3548387096774194,0.3384615384615385
5,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6216216216216216,0.49208321826383133,0.5109624292331446,0.6169080042471705,"[[54, 0, 17], [1, 2, 3], [19, 2, 13]]",2,2,0.7605633802816901,0.7297297297297297,0.7448275862068966,0.3333333333333333,0.5,0.4,0.38235294117647056,0.3939393939393939,0.3880597014925373
5,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6666666666666666,0.5257755684433397,0.5375360008397463,0.6572574660905468,"[[57, 2, 12], [3, 2, 1], [18, 1, 15]]",3,2,0.8028169014084507,0.7307692307692307,0.7651006711409396,0.3333333333333333,0.4,0.36363636363636365,0.4411764705882353,0.5357142857142857,0.4838709677419355
