fold_number,repeat_number,fold_within_repeat,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
8,2,3,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.5454545454545454,0.34621848739495803,0.3413269384492406,0.5425332461303685,"[[48, 1, 21], [1, 0, 5], [20, 2, 12]]",3,0,0.6857142857142857,0.6956521739130435,0.6906474820143885,0.0,0.0,0.0,0.35294117647058826,0.3157894736842105,0.3333333333333333
8,2,3,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5545454545454546,0.36610644257703084,0.3570306236972904,0.5540950631859723,"[[46, 1, 23], [1, 0, 5], [18, 1, 15]]",2,0,0.6571428571428571,0.7076923076923077,0.6814814814814815,0.0,0.0,0.0,0.4411764705882353,0.3488372093023256,0.38961038961038963
9,2,4,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5545454545454546,0.543827671913836,0.46251506629168343,0.5715782168815516,"[[44, 6, 21], [1, 3, 1], [15, 5, 14]]",11,3,0.6197183098591549,0.7333333333333333,0.6717557251908397,0.6,0.21428571428571427,0.3157894736842105,0.4117647058823529,0.3888888888888889,0.4
9,2,4,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.7,0.5723004694835682,0.5649621212121212,0.6970971074380166,"[[58, 2, 11], [1, 2, 2], [15, 2, 17]]",4,2,0.8169014084507042,0.7837837837837838,0.8,0.4,0.3333333333333333,0.36363636363636365,0.5,0.5666666666666667,0.53125
9,2,4,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.6181818181818182,0.5613642640154654,0.5321321321321322,0.6070679770679771,"[[54, 2, 15], [2, 3, 0], [21, 2, 11]]",4,3,0.7605633802816901,0.7012987012987013,0.7297297297297297,0.6,0.42857142857142855,0.5,0.3235294117647059,0.4230769230769231,0.36666666666666664
9,2,4,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.6727272727272727,0.6617232808616405,0.6234234234234234,0.6614168714168714,"[[57, 1, 13], [1, 4, 0], [19, 2, 13]]",3,4,0.8028169014084507,0.7402597402597403,0.7702702702702703,0.8,0.5714285714285714,0.6666666666666666,0.38235294117647056,0.5,0.43333333333333335
9,2,4,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6272727272727273,0.5864954432477216,0.5700117571206432,0.6280815895902937,"[[51, 2, 18], [1, 3, 1], [18, 1, 15]]",3,3,0.7183098591549296,0.7285714285714285,0.723404255319149,0.6,0.5,0.5454545454545454,0.4411764705882353,0.4411764705882353,0.4411764705882353
10,2,5,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6363636363636364,0.5343275338304335,0.4987929965173417,0.6475558504755585,"[[52, 3, 16], [1, 2, 2], [13, 5, 16]]",8,2,0.7323943661971831,0.7878787878787878,0.7591240875912408,0.4,0.2,0.26666666666666666,0.47058823529411764,0.47058823529411764,0.47058823529411764
10,2,5,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.6636363636363637,0.4915492957746479,0.49301346801346796,0.6613751147842056,"[[55, 3, 13], [2, 1, 2], [16, 1, 17]]",4,1,0.7746478873239436,0.7534246575342466,0.7638888888888888,0.2,0.2,0.2,0.5,0.53125,0.5151515151515151
10,2,5,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.6909090909090909,0.515851974592654,0.5223880597014925,0.6874265038444143,"[[56, 2, 13], [3, 1, 1], [14, 1, 19]]",3,1,0.7887323943661971,0.7671232876712328,0.7777777777777778,0.2,0.25,0.2222222222222222,0.5588235294117647,0.5757575757575758,0.5671641791044776
