row_type,model_or_comparison,metric,evaluation_count,mean,median,standard_deviation,minimum,maximum,paired_mean_difference,paired_mean_bootstrap_95ci_lower,paired_mean_bootstrap_95ci_upper,improved_count,worsened_count,equal_count
model_summary,Random Forest,suspicious_precision,30,0.47420774166909935,0.4775828460038986,0.037135082095936425,0.375,0.5483870967741935,,,,,,
model_summary,Random Forest,pathological_precision,30,0.23644420394420396,0.2,0.16103003501889748,0.0,0.6666666666666666,,,,,,
model_summary,Random Forest,pathological_f1,30,0.22868775559952031,0.19090909090909092,0.14973295677926643,0.0,0.6153846153846154,,,,,,
model_summary,Random Forest,false_pathological_predictions,30,4.733333333333333,5.0,1.9988502442280598,1.0,9.0,,,,,,
model_summary,Random Forest,true_pathological_detections,30,1.4333333333333333,1.0,1.0400044208570938,0.0,4.0,,,,,,
pairwise_vs_logistic,Random Forest minus Logistic Regression,macro_f1,30,,,,,,-0.008947014769251223,-0.030395583860830855,0.013284114285503445,11.0,19.0,0.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,balanced_accuracy,30,,,,,,-0.04246831753045506,-0.07004107981220659,-0.016064546319310213,10.0,20.0,0.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,pathological_recall,30,,,,,,-0.16111111111111115,-0.24999999999999997,-0.08333333333333333,3.0,15.0,12.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,pathological_precision,30,,,,,,0.003541896699791434,-0.05802800732405998,0.0689159225277646,16.0,12.0,2.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,false_pathological_predictions,30,,,,,,-4.4,-5.566666666666666,-3.3325000000000125,27.0,2.0,1.0
model_summary,XGBoost,accuracy,30,0.6138138138138137,0.6126126126126126,0.02856093819148283,0.5405405405405406,0.6846846846846847,,,,,,
model_summary,XGBoost,balanced_accuracy,30,0.4597041946669122,0.4692074012703673,0.04799784249548929,0.3609500138083402,0.5715272024302679,,,,,,
model_summary,XGBoost,macro_f1,30,0.4607549285866582,0.4718261041790453,0.0458013197778584,0.36383141762452115,0.5628871896153003,,,,,,
model_summary,XGBoost,weighted_f1,30,0.6075211162979337,0.6067037670512319,0.026274074610262366,0.5506421182096857,0.6768118055789288,,,,,,
model_summary,XGBoost,normal_recall,30,0.7549295774647888,0.7605633802816901,0.04210756724978364,0.6338028169014085,0.8309859154929577,,,,,,
model_summary,XGBoost,suspicious_recall,30,0.3852941176470589,0.38235294117647056,0.06098953339214035,0.2647058823529412,0.5294117647058824,,,,,,
model_summary,XGBoost,pathological_recall,30,0.23888888888888887,0.16666666666666666,0.1430599727770958,0.0,0.5,,,,,,
model_summary,XGBoost,normal_precision,30,0.7175065882725206,0.7133928571428572,0.024165542339215123,0.6666666666666666,0.7733333333333333,,,,,,
model_summary,XGBoost,suspicious_precision,30,0.4331411601008784,0.4354166666666667,0.047690723058431084,0.34375,0.53125,,,,,,
model_summary,XGBoost,pathological_precision,30,0.26321428571428573,0.25,0.1691638947691123,0.0,0.6666666666666666,,,,,,
model_summary,XGBoost,pathological_f1,30,0.24142228142228142,0.225,0.13700285223213557,0.0,0.46153846153846156,,,,,,
model_summary,XGBoost,false_pathological_predictions,30,4.433333333333334,4.0,1.8510636892363255,1.0,8.0,,,,,,
model_summary,XGBoost,true_pathological_detections,30,1.4333333333333333,1.0,0.858359836662575,0.0,3.0,,,,,,
pairwise_vs_logistic,XGBoost minus Logistic Regression,macro_f1,30,,,,,,-0.02543875089995344,-0.04740336150347707,-0.0037451587916712313,11.0,19.0,0.0
pairwise_vs_logistic,XGBoost minus Logistic Regression,balanced_accuracy,30,,,,,,-0.06272975543895179,-0.08949768326736011,-0.03742823498726567,7.0,23.0,0.0
pairwise_vs_logistic,XGBoost minus Logistic Regression,pathological_recall,30,,,,,,-0.16111111111111112,-0.23333333333333336,-0.09444444444444443,2.0,18.0,10.0
pairwise_vs_logistic,XGBoost minus Logistic Regression,pathological_precision,30,,,,,,0.030311978469873206,-0.029192926347531616,0.08700914180848389,20.0,10.0,0.0
pairwise_vs_logistic,XGBoost minus Logistic Regression,false_pathological_predictions,30,,,,,,-4.7,-5.833333333333333,-3.6666666666666665,29.0,1.0,0.0
model_summary,LightGBM,accuracy,30,0.615015015015015,0.6126126126126126,0.023768968119919437,0.5765765765765766,0.6756756756756757,,,,,,
model_summary,LightGBM,balanced_accuracy,30,0.44929884316794017,0.44612445917334065,0.050927486719393227,0.3566694283347142,0.5617232808616405,,,,,,
model_summary,LightGBM,macro_f1,30,0.45185229966797513,0.4529284717719414,0.05252234705084119,0.3515592515592516,0.5766366851017208,,,,,,
model_summary,LightGBM,weighted_f1,30,0.6044960066019154,0.6013939817961594,0.02336041537679786,0.5617931861175105,0.6622067228518841,,,,,,
model_summary,LightGBM,normal_recall,30,0.7661971830985915,0.7605633802816901,0.03854540052572951,0.676056338028169,0.8309859154929577,,,,,,
model_summary,LightGBM,suspicious_recall,30,0.3705882352941177,0.38235294117647056,0.06255888527773219,0.23529411764705882,0.5294117647058824,,,,,,
model_summary,LightGBM,pathological_recall,30,0.21111111111111114,0.16666666666666666,0.15119785655328932,0.0,0.5,,,,,,
model_summary,LightGBM,normal_precision,30,0.709700125483488,0.7083333333333334,0.0185878789552248,0.6666666666666666,0.7468354430379747,,,,,,
model_summary,LightGBM,suspicious_precision,30,0.43092780979473755,0.430952380952381,0.045883968280476244,0.3448275862068966,0.5357142857142857,,,,,,
model_summary,LightGBM,pathological_precision,30,0.2453835978835979,0.25,0.1642128669357385,0.0,0.6,,,,,,
model_summary,LightGBM,pathological_f1,30,0.22262034262034264,0.2,0.15106024451321076,0.0,0.5454545454545454,,,,,,
model_summary,LightGBM,false_pathological_predictions,30,3.7666666666666666,4.0,1.3565507307349296,2.0,7.0,,,,,,
model_summary,LightGBM,true_pathological_detections,30,1.2666666666666666,1.0,0.9071871393197362,0.0,3.0,,,,,,
pairwise_vs_logistic,LightGBM minus Logistic Regression,macro_f1,30,,,,,,-0.034341379818636567,-0.05955785482814652,-0.009593887347999812,12.0,18.0,0.0
pairwise_vs_logistic,LightGBM minus Logistic Regression,balanced_accuracy,30,,,,,,-0.07313510693792381,-0.10088611187824113,-0.04681936389579307,5.0,25.0,0.0
pairwise_vs_logistic,LightGBM minus Logistic Regression,pathological_recall,30,,,,,,-0.18888888888888886,-0.2611111111111111,-0.11666666666666668,2.0,20.0,8.0
pairwise_vs_logistic,LightGBM minus Logistic Regression,pathological_precision,30,,,,,,0.012481290639185377,-0.05736744627205154,0.07931221142405351,18.0,12.0,0.0
pairwise_vs_logistic,LightGBM minus Logistic Regression,false_pathological_predictions,30,,,,,,-5.366666666666666,-6.6,-4.2,29.0,1.0,0.0
model_summary,Support Vector Machine,accuracy,30,0.6228228228228228,0.6261261261261262,0.035388191328493905,0.5495495495495496,0.6936936936936937,,,,,,
model_summary,Support Vector Machine,balanced_accuracy,30,0.4785418392709197,0.4794255730461199,0.05194782675813101,0.3626070146368406,0.568075117370892,,,,,,
model_summary,Support Vector Machine,macro_f1,30,0.4834531233727989,0.4807808970972389,0.056108466515681875,0.35498174230568597,0.5709103103469301,,,,,,
model_summary,Support Vector Machine,weighted_f1,30,0.6208791454065694,0.6200277191283188,0.03322672613628808,0.5515515515515516,0.6947969553603356,,,,,,
model_summary,Support Vector Machine,normal_recall,30,0.7258215962441315,0.7394366197183099,0.057029910504006014,0.5774647887323944,0.8450704225352113,,,,,,
model_summary,Support Vector Machine,suspicious_recall,30,0.47647058823529415,0.47058823529411764,0.07777787247415179,0.29411764705882354,0.5882352941176471,,,,,,
model_summary,Support Vector Machine,pathological_recall,30,0.23333333333333334,0.16666666666666666,0.1356127007241621,0.0,0.5,,,,,,
model_summary,Support Vector Machine,normal_precision,30,0.7348406011323889,0.735702614379085,0.028050261275008252,0.676056338028169,0.7971014492753623,,,,,,
model_summary,Support Vector Machine,suspicious_precision,30,0.4470361825300001,0.44590643274853803,0.05246931946226133,0.35,0.5405405405405406,,,,,,
model_summary,Support Vector Machine,pathological_precision,30,0.3512433862433862,0.3333333333333333,0.22122967049590925,0.0,1.0,,,,,,
model_summary,Support Vector Machine,pathological_f1,30,0.263007363007363,0.25,0.1368200763703569,0.0,0.5,,,,,,
model_summary,Support Vector Machine,false_pathological_predictions,30,2.933333333333333,3.0,1.9286109586656033,0.0,8.0,,,,,,
model_summary,Support Vector Machine,true_pathological_detections,30,1.4,1.0,0.8136762043449725,0.0,3.0,,,,,,
pairwise_vs_logistic,Support Vector Machine minus Logistic Regression,macro_f1,30,,,,,,-0.002740556113812831,-0.02385761484453963,0.01760928683372409,17.0,13.0,0.0
pairwise_vs_logistic,Support Vector Machine minus Logistic Regression,balanced_accuracy,30,,,,,,-0.0438921108349443,-0.0689089876952346,-0.020822286661143392,5.0,25.0,0.0
pairwise_vs_logistic,Support Vector Machine minus Logistic Regression,pathological_recall,30,,,,,,-0.16666666666666663,-0.23347222222222216,-0.10555555555555556,0.0,17.0,13.0
pairwise_vs_logistic,Support Vector Machine minus Logistic Regression,pathological_precision,30,,,,,,0.11834107899897371,0.03970014245014245,0.20334451245635451,19.0,11.0,0.0
pairwise_vs_logistic,Support Vector Machine minus Logistic Regression,false_pathological_predictions,30,,,,,,-6.2,-7.266666666666667,-5.166666666666667,29.0,1.0,0.0
