row_type,model_or_comparison,metric,evaluation_count,mean,median,standard_deviation,minimum,maximum,paired_mean_difference,paired_mean_bootstrap_95ci_lower,paired_mean_bootstrap_95ci_upper,improved_count,worsened_count,equal_count
model_summary,Random Forest,balanced_accuracy,25,0.4839422416854066,0.4915492957746479,0.07715076708113647,0.36526610644257707,0.7064623032311518,,,,,,
model_summary,Random Forest,macro_f1,25,0.48223704664170375,0.4899349406812094,0.07393302911776882,0.3648599224636091,0.6823694291320191,,,,,,
model_summary,Random Forest,weighted_f1,25,0.635486734858689,0.642444414858208,0.038836126091904295,0.5669153084691532,0.7023543101764161,,,,,,
model_summary,Random Forest,normal_recall,25,0.7524989939637827,0.7464788732394366,0.04631806914438594,0.676056338028169,0.8450704225352113,,,,,,
model_summary,Random Forest,suspicious_recall,25,0.46332773109243697,0.47058823529411764,0.07866719249837326,0.29411764705882354,0.6,,,,,,
model_summary,Random Forest,pathological_recall,25,0.23600000000000002,0.2,0.19624248039380035,0.0,0.8,,,,,,
model_summary,Random Forest,normal_precision,25,0.7419266472507517,0.7407407407407407,0.030563216702939388,0.6753246753246753,0.7941176470588235,,,,,,
model_summary,Random Forest,suspicious_precision,25,0.4810112368498102,0.4857142857142857,0.06529098038618159,0.3333333333333333,0.6129032258064516,,,,,,
model_summary,Random Forest,pathological_precision,25,0.2587186147186147,0.2222222222222222,0.24331713254350545,0.0,1.0,,,,,,
model_summary,Random Forest,pathological_f1,25,0.23079763373881018,0.2,0.18222627717464956,0.0,0.7272727272727273,,,,,,
model_summary,Random Forest,false_pathological_predictions,25,4.12,4.0,2.107921567168317,0.0,8.0,,,,,,
model_summary,Random Forest,true_pathological_detections,25,1.28,1.0,1.0614455552060438,0.0,4.0,,,,,,
pairwise_vs_logistic,Random Forest minus Logistic Regression,macro_f1,25,,,,,,0.015966932687269276,-0.012111418202403575,0.04493198535703619,14.0,11.0,0.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,balanced_accuracy,25,,,,,,-0.020140187530411226,-0.05268374824108048,0.010234978498441627,11.0,14.0,0.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,pathological_recall,25,,,,,,-0.14133333333333334,-0.21866666666666668,-0.07466666666666666,1.0,15.0,9.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,pathological_precision,25,,,,,,0.06963971013506615,-0.01481952735946545,0.1634712857489947,12.0,9.0,4.0
pairwise_vs_logistic,Random Forest minus Logistic Regression,false_pathological_predictions,25,,,,,,-5.16,-6.76,-3.44,23.0,1.0,1.0
model_summary,XGBoost,accuracy,25,0.6109058149058149,0.6126126126126126,0.03577360264685979,0.5405405405405406,0.6909090909090909,,,,,,
model_summary,XGBoost,balanced_accuracy,25,0.45510190555095276,0.44722452361226184,0.07644757770421838,0.32605042016806723,0.6629660314830158,,,,,,
model_summary,XGBoost,macro_f1,25,0.4516312854583993,0.4483734917666043,0.0761244690945661,0.3200241984271022,0.6619047619047619,,,,,,
model_summary,XGBoost,weighted_f1,25,0.6028449031095121,0.6070679770679771,0.03898752101414657,0.5202353388298907,0.6874265038444143,,,,,,
